example_id                                              | status  | run_time        |
./spec/models/discount_spec.rb[1:2:4]                   | passed  | 0.00068 seconds |
./spec/models/discount_spec.rb[1:2:5]                   | passed  | 0.00067 seconds |
./spec/models/discount_spec.rb[1:2:6]                   | passed  | 0.00068 seconds |
./spec/models/discount_spec.rb[1:2:7]                   | passed  | 0.00066 seconds |
./spec/models/discount_spec.rb[1:3:1]                   | passed  | 0.00544 seconds |
./spec/models/discount_spec.rb[1:3:2]                   | passed  | 0.0048 seconds  |
./spec/models/discount_spec.rb[1:3:3]                   | passed  | 0.00535 seconds |
./spec/models/discount_spec.rb[1:4:1]                   | passed  | 0.01612 seconds |
./spec/models/discount_spec.rb[1:4:2]                   | passed  | 0.01534 seconds |
./spec/models/discount_spec.rb[1:4:3]                   | passed  | 0.0172 seconds  |
./spec/models/discount_spec.rb[1:5:1]                   | passed  | 0.01962 seconds |
./spec/models/invoice_item_spec.rb[1:1:1]               | passed  | 0.02784 seconds |
./spec/models/invoice_item_spec.rb[1:1:2]               | passed  | 0.03108 seconds |
./spec/models/invoice_item_spec.rb[1:2:1]               | passed  | 0.02668 seconds |
./spec/models/invoice_item_spec.rb[1:2:2]               | passed  | 0.02751 seconds |
./spec/models/invoice_item_spec.rb[1:2:3]               | passed  | 0.02726 seconds |
./spec/models/invoice_item_spec.rb[1:2:4]               | passed  | 0.02866 seconds |
./spec/models/invoice_item_spec.rb[1:2:5]               | passed  | 0.02725 seconds |
./spec/models/invoice_item_spec.rb[1:3:1]               | passed  | 0.02529 seconds |
./spec/models/invoice_item_spec.rb[1:4:1]               | passed  | 0.02423 seconds |
./spec/models/invoice_item_spec.rb[1:4:2]               | passed  | 0.02658 seconds |
./spec/models/invoice_item_spec.rb[1:4:3]               | passed  | 0.02458 seconds |
./spec/models/invoice_item_spec.rb[1:4:4]               | passed  | 0.02865 seconds |
./spec/models/invoice_item_spec.rb[1:4:5]               | passed  | 0.02488 seconds |
./spec/models/invoice_item_spec.rb[1:4:6]               | passed  | 0.03031 seconds |
./spec/models/invoice_spec.rb[1:1:1]                    | passed  | 0.01082 seconds |
./spec/models/invoice_spec.rb[1:1:2]                    | passed  | 0.00972 seconds |
./spec/models/invoice_spec.rb[1:1:3]                    | passed  | 0.00966 seconds |
./spec/models/invoice_spec.rb[1:1:4]                    | passed  | 0.00942 seconds |
./spec/models/invoice_spec.rb[1:1:5]                    | passed  | 0.01142 seconds |
./spec/models/invoice_spec.rb[1:1:6]                    | passed  | 0.01081 seconds |
./spec/models/invoice_spec.rb[1:2:1]                    | passed  | 0.01158 seconds |
./spec/models/invoice_spec.rb[1:2:2]                    | passed  | 0.01235 seconds |
./spec/models/invoice_spec.rb[1:2:3]                    | passed  | 0.01007 seconds |
./spec/models/invoice_spec.rb[1:3:1]                    | passed  | 0.01037 seconds |
./spec/models/invoice_spec.rb[1:3:2]                    | passed  | 0.01624 seconds |
./spec/models/invoice_spec.rb[1:3:3]                    | passed  | 0.01971 seconds |
./spec/models/invoice_spec.rb[1:4:1]                    | passed  | 0.02583 seconds |
./spec/models/invoice_spec.rb[1:4:2]                    | passed  | 0.03413 seconds |
./spec/models/invoice_spec.rb[1:5:1]                    | passed  | 0.02277 seconds |
./spec/models/invoice_spec.rb[1:5:2]                    | passed  | 0.02938 seconds |
./spec/models/invoice_spec.rb[1:5:3]                    | passed  | 0.03202 seconds |
./spec/models/invoice_spec.rb[1:5:4]                    | passed  | 0.03114 seconds |
./spec/models/invoice_spec.rb[1:5:5]                    | passed  | 0.03934 seconds |
./spec/models/item_spec.rb[1:1:1]                       | passed  | 0.0154 seconds  |
./spec/models/item_spec.rb[1:1:2]                       | passed  | 0.01828 seconds |
./spec/models/item_spec.rb[1:1:3]                       | passed  | 0.01642 seconds |
./spec/models/item_spec.rb[1:1:4]                       | passed  | 0.01674 seconds |
./spec/models/item_spec.rb[1:1:5]                       | passed  | 0.01481 seconds |
./spec/models/item_spec.rb[1:2:1]                       | passed  | 0.01439 seconds |
./spec/models/item_spec.rb[1:2:2]                       | passed  | 0.01295 seconds |
./spec/models/item_spec.rb[1:2:3]                       | passed  | 0.0157 seconds  |
./spec/models/item_spec.rb[1:2:4]                       | passed  | 0.0136 seconds  |
./spec/models/item_spec.rb[1:2:5]                       | passed  | 0.01346 seconds |
./spec/models/item_spec.rb[1:3:1]                       | passed  | 0.01804 seconds |
./spec/models/item_spec.rb[1:3:2]                       | passed  | 0.02067 seconds |
./spec/models/item_spec.rb[1:4:1]                       | passed  | 0.01655 seconds |
./spec/models/item_spec.rb[1:4:2]                       | passed  | 0.02141 seconds |
./spec/models/item_spec.rb[1:5:1]                       | pending | 0.00004 seconds |
./spec/models/item_spec.rb[1:5:2]                       | pending | 0 seconds       |
./spec/models/merchant_spec.rb[1:1:1]                   | passed  | 0.09607 seconds |
./spec/models/merchant_spec.rb[1:2:1]                   | passed  | 0.09507 seconds |
./spec/models/merchant_spec.rb[1:2:2]                   | passed  | 0.09536 seconds |
./spec/models/merchant_spec.rb[1:2:3]                   | passed  | 0.09658 seconds |
./spec/models/merchant_spec.rb[1:2:4]                   | passed  | 0.09827 seconds |
./spec/models/merchant_spec.rb[1:2:5]                   | passed  | 0.09727 seconds |
./spec/models/merchant_spec.rb[1:2:6]                   | passed  | 0.13462 seconds |
./spec/models/merchant_spec.rb[1:2:7]                   | passed  | 0.13768 seconds |
./spec/models/merchant_spec.rb[1:3:1]                   | passed  | 0.09398 seconds |
./spec/models/merchant_spec.rb[1:3:2]                   | passed  | 0.09366 seconds |
./spec/models/merchant_spec.rb[1:4:1]                   | passed  | 0.10279 seconds |
./spec/models/merchant_spec.rb[1:4:2]                   | passed  | 0.0995 seconds  |
./spec/models/merchant_spec.rb[1:4:3]                   | passed  | 0.09917 seconds |
./spec/models/merchant_spec.rb[1:4:4]                   | pending | 0.00001 seconds |
./spec/models/merchant_spec.rb[1:4:5]                   | pending | 0 seconds       |
./spec/models/merchant_spec.rb[1:5:1]                   | passed  | 0.10515 seconds |
./spec/models/merchant_spec.rb[1:5:2]                   | passed  | 0.10261 seconds |
./spec/models/merchant_spec.rb[1:5:3]                   | passed  | 0.10225 seconds |
./spec/models/merchant_spec.rb[1:5:4]                   | passed  | 0.10116 seconds |
./spec/models/merchant_spec.rb[1:5:5]                   | passed  | 0.10253 seconds |
./spec/models/merchant_spec.rb[1:5:6]                   | passed  | 0.09797 seconds |
./spec/models/merchant_spec.rb[1:5:7]                   | passed  | 0.10164 seconds |
./spec/models/merchant_spec.rb[1:5:8]                   | passed  | 0.10319 seconds |
./spec/models/merchant_spec.rb[1:5:9]                   | passed  | 0.098 seconds   |
./spec/models/transaction_spec.rb[1:1:1]                | passed  | 0.00179 seconds |
./spec/models/transaction_spec.rb[1:1:2]                | passed  | 0.00088 seconds |
./spec/models/transaction_spec.rb[1:1:3]                | passed  | 0.00079 seconds |
./spec/models/transaction_spec.rb[1:1:4]                | passed  | 0.00072 seconds |
./spec/models/transaction_spec.rb[1:1:5]                | passed  | 0.00082 seconds |
./spec/models/transaction_spec.rb[1:2:1]                | passed  | 0.00258 seconds |
./spec/models/transaction_spec.rb[1:2:2]                | passed  | 0.003 seconds   |
./spec/models/transaction_spec.rb[1:2:3]                | passed  | 0.00262 seconds |
./spec/models/transaction_spec.rb[1:2:4]                | passed  | 0.0009 seconds  |
./spec/models/user_spec.rb[1:1]                         | pending | 0.00001 seconds |
./spec/requests/api/v1/items/merchants_spec.rb[1:1]     | passed  | 0.01313 seconds |
./spec/requests/api/v1/items/merchants_spec.rb[1:2]     | passed  | 0.00934 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:1:1]    | passed  | 0.01385 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:1:2]    | passed  | 0.01275 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:1:3]    | pending | 0.00001 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:1:4]    | pending | 0 seconds       |
./spec/requests/api/v1/items/search_spec.rb[1:1:1:5]    | passed  | 0.01402 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:1]    | passed  | 0.0108 seconds  |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:2]    | passed  | 0.01118 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:3]    | passed  | 0.01093 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:4]    | passed  | 0.01126 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:5]    | passed  | 0.01703 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:1:2:6]    | passed  | 0.01257 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:2:1]      | passed  | 0.01308 seconds |
./spec/requests/api/v1/items/search_spec.rb[1:2:2]      | passed  | 0.0115 seconds  |
./spec/requests/api/v1/items_request_spec.rb[1:1]       | passed  | 0.01039 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:2:1]     | passed  | 0.00921 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:2:2]     | passed  | 0.01476 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:3:1]     | passed  | 0.01149 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:3:2]     | passed  | 0.01414 seconds |
